query_idx,query_name,vit_rank1_name,vit_rank1_score,vit_rank2_name,vit_rank2_score,vit_rank3_name,vit_rank3_score,vit_rank4_name,vit_rank4_score,vit_rank5_name,vit_rank5_score
10,1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.94399536,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.93108124,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.9170151,3_png.rf.3623643d6ea770476054dcbc18ec4da8.jpg,0.82846427,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.8256805
11,21_png.rf.14a3f0eb3df1717c54de3445f3988524.jpg,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.9737053,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,0.9508186,135_png.rf.8a27e2add3109c3d2fc762fd95669219.jpg,0.9478619,6f_png.rf.4dcfc0c556af56e418f2226f40765059.jpg,0.9463119,18_png.rf.deca17bfe3ef6a0738238319d1dcdd71.jpg,0.9454683
12,26_png.rf.58fd63888dc80d24e902a96995a31656.jpg,36_png.rf.0335463c111a76dc82384e5664c969ca.jpg,0.9712206,39_png.rf.dc31e2cb0d05a0df89cfefc35ec71231.jpg,0.9593395,16_png.rf.691cc1c2ecb1a6b9e2b253b55ee31e37.jpg,0.9546088,23_png.rf.16eca710aad8f132510abb5de8930fc0.jpg,0.95309305,25_png.rf.7e8991bbc403d6fbe9b9e6877ce5f38a.jpg,0.9523053
13,27_png.rf.b66e7ecbfb20811de556a247f42c24ec.jpg,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.9732158,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,0.95229876,6f_png.rf.4dcfc0c556af56e418f2226f40765059.jpg,0.9478396,135_png.rf.8a27e2add3109c3d2fc762fd95669219.jpg,0.94455665,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.94254136
14,38_png.rf.5f7178d32f8c80830acba72ceaa53c52.jpg,61_png.rf.fcb03285eaaa0805f6a53443b10cd4fe.jpg,0.9791269,33_png.rf.297fe8781d6a91fb415a3483e34b5d6d.jpg,0.97568727,50_png.rf.383e95718229d46e0da9d8f13dff24d6.jpg,0.974077,55_png.rf.68431d245b349b193d16154de0905524.jpg,0.9725169,57_png.rf.03d3722260858e9a17b3a16291bd0103.jpg,0.9652771
15,49_png.rf.34dd21e67336cfaacfc62268433a9c2d.jpg,74_png.rf.d4457ce90ae63f42842e5cc1f35d9425.jpg,0.9857125,41_png.rf.1b958373ee00ad9b6c72ccde65ac6c44.jpg,0.98075545,42_png.rf.c6be4b18ac2a7d7c6e71b98132d5b411.jpg,0.978682,29_png.rf.6123f6b17b0b0752cc729beefa04a070.jpg,0.97594726,23_png.rf.16eca710aad8f132510abb5de8930fc0.jpg,0.9758287
16,52_png.rf.d9ef7051544ef241be7a8134959f3411.jpg,78_png.rf.e4113b07a8da6a1795e7bb7519fab19a.jpg,0.9776771,85_png.rf.92386fd10cea05180773e53215694d52.jpg,0.9765548,13_png.rf.6997e656c43b72e712856bc7557bedf9.jpg,0.97192967,11_png.rf.6b73a508e3eafaac95768aae9325dabc.jpg,0.97102916,46_png.rf.e8ee7736ebfa4a3181665065498b2b12.jpg,0.9694973
17,58_png.rf.b94027c8488125d21180dde164fc71f6.jpg,48_png.rf.6d53741dd87298c5fedafc4e15fab214.jpg,0.98273075,75_png.rf.fec3448d8e1f00fd7d681730877c8e37.jpg,0.98228574,55_png.rf.68431d245b349b193d16154de0905524.jpg,0.97897303,56_png.rf.d816086571a6166985bd89660706de3c.jpg,0.97655827,57_png.rf.03d3722260858e9a17b3a16291bd0103.jpg,0.976176
18,94_png.rf.914de818a4ff0d086b7cb41abc8b95fd.jpg,89_png.rf.f6d530aecfb9a6a925bb6db4a606a529.jpg,0.95614696,93_png.rf.e4404052301ebc4f485e978401b476d2.jpg,0.9447434,2a_png.rf.d8a574394a3499846384d0e2f5162459.jpg,0.9330263,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.9263996,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.92622125
19,9_png.rf.3a4164e5647feea77eb3062be7e65aea.jpg,95_png.rf.03182e61750c77320a1463bb756ed0cf.jpg,0.97554547,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0.9689054,2_png.rf.e294eab9e1b8504f18e1964e03f9e9e5.jpg,0.91597,99_png.rf.980b3b82bd6f61bc422a234a44e95383.jpg,0.89523417,8_png.rf.00b44beea89152bdea072ac458c5ec85.jpg,0.8412814
