query_name,ssim_rank1_name,ssim_rank1_score,ssim_rank2_name,ssim_rank2_score,ssim_rank3_name,ssim_rank3_score,ssim_rank4_name,ssim_rank4_score,ssim_rank5_name,ssim_rank5_score
1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.80226,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.787738,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.767059,193_png.rf.0d9b4209cb5fb72ec5b2eed87c2f25cc.jpg,0.739095,191_png.rf.f0dae604026d771ea10fc7983a5b03e7.jpg,0.72396
21_png.rf.14a3f0eb3df1717c54de3445f3988524.jpg,35_png.rf.3b3f67570700881bc1962c56d85d95eb.jpg,0.895672,19_png.rf.9bdb39240f3b93c04a458babb9612353.jpg,0.867652,20_png.rf.52c78aebcebbb16b65b30edf6e6dc4a5.jpg,0.866383,18_png.rf.deca17bfe3ef6a0738238319d1dcdd71.jpg,0.860882,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.829048
26_png.rf.58fd63888dc80d24e902a96995a31656.jpg,25_png.rf.7e8991bbc403d6fbe9b9e6877ce5f38a.jpg,0.977075,24_png.rf.76109e322271997766d83ebb01eba055.jpg,0.947897,40_png.rf.5bb1a2e7946b7a35cb9e87950cc508da.jpg,0.946548,31_png.rf.0f21d20a8cd7c12cbb1222cd2070b345.jpg,0.944955,39_png.rf.dc31e2cb0d05a0df89cfefc35ec71231.jpg,0.942718
27_png.rf.b66e7ecbfb20811de556a247f42c24ec.jpg,35_png.rf.3b3f67570700881bc1962c56d85d95eb.jpg,0.883414,19_png.rf.9bdb39240f3b93c04a458babb9612353.jpg,0.852634,20_png.rf.52c78aebcebbb16b65b30edf6e6dc4a5.jpg,0.851165,18_png.rf.deca17bfe3ef6a0738238319d1dcdd71.jpg,0.848475,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.813646
38_png.rf.5f7178d32f8c80830acba72ceaa53c52.jpg,44_png.rf.fa470a214cd0390f0989f6f83d9bdb4b.jpg,0.935025,33_png.rf.297fe8781d6a91fb415a3483e34b5d6d.jpg,0.926333,50_png.rf.383e95718229d46e0da9d8f13dff24d6.jpg,0.925235,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.924649,69_png.rf.1edee7e4c9a2c82d508c7805de8bb35c.jpg,0.923731
49_png.rf.34dd21e67336cfaacfc62268433a9c2d.jpg,74_png.rf.d4457ce90ae63f42842e5cc1f35d9425.jpg,0.975385,36_png.rf.0335463c111a76dc82384e5664c969ca.jpg,0.967785,40_png.rf.5bb1a2e7946b7a35cb9e87950cc508da.jpg,0.938885,31_png.rf.0f21d20a8cd7c12cbb1222cd2070b345.jpg,0.937174,39_png.rf.dc31e2cb0d05a0df89cfefc35ec71231.jpg,0.936712
52_png.rf.d9ef7051544ef241be7a8134959f3411.jpg,53_png.rf.855b0f59076e870a81b9fa99f43590a7.jpg,0.968354,54_png.rf.18d8023ac7bcdc316c9be6efbd0070ef.jpg,0.936478,56_png.rf.d816086571a6166985bd89660706de3c.jpg,0.935949,44_png.rf.fa470a214cd0390f0989f6f83d9bdb4b.jpg,0.931539,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.928567
58_png.rf.b94027c8488125d21180dde164fc71f6.jpg,44_png.rf.fa470a214cd0390f0989f6f83d9bdb4b.jpg,0.941538,57_png.rf.03d3722260858e9a17b3a16291bd0103.jpg,0.93963,55_png.rf.68431d245b349b193d16154de0905524.jpg,0.931846,51_png.rf.6cd3806d5bbf3bb4c08aa71f88200357.jpg,0.929136,56_png.rf.d816086571a6166985bd89660706de3c.jpg,0.929018
94_png.rf.914de818a4ff0d086b7cb41abc8b95fd.jpg,2a_png.rf.d8a574394a3499846384d0e2f5162459.jpg,0.675886,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.613488,66_png.rf.4cae8e3276f22572dc03614ba2654a27.jpg,0.589277,70_png.rf.c11964e069c3c801f450ed11cbc6a414.jpg,0.585284,68_png.rf.2abffb51d52abb9355fb9037922c7535.jpg,0.579628
9_png.rf.3a4164e5647feea77eb3062be7e65aea.jpg,97_png.rf.b1d56d5cdf3128d08eab5b4d6d269c17.jpg,0.378434,98_png.rf.68df6216acc2ca690c16e3f15e3969ac.jpg,0.377856,44_png.rf.fa470a214cd0390f0989f6f83d9bdb4b.jpg,0.363279,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.361184,43_png.rf.68ae08a017d1928a4cef37867a7f3231.jpg,0.359019
